data,denoise method,random seed,ARI,NMI,SC
endoderm-500,raw,1111,0.12796043,0.18389836,0.35076594
endoderm-500,raw,2222,0.11986233,0.18812485,0.35230446
endoderm-500,raw,3333,0.12226312,0.1789013,0.35095474
endoderm-500,raw,4444,0.13601914,0.18257402,0.35681316
endoderm-500,raw,5555,0.15016441,0.20815426,0.3483937
endoderm-1000,raw,1111,0.40486276,0.4852457,0.38738307
endoderm-1000,raw,2222,0.4014529,0.47207993,0.40173548
endoderm-1000,raw,3333,0.4523834,0.5238902,0.39298308
endoderm-1000,raw,4444,0.38986835,0.45931578,0.39787555
endoderm-1000,raw,5555,0.42598313,0.50347656,0.39475134
endoderm-5000,raw,1111,0.713246,0.80863935,0.5766867
endoderm-5000,raw,2222,0.72546566,0.8113822,0.57638884
endoderm-5000,raw,3333,0.7448749,0.82292575,0.5865377
endoderm-5000,raw,4444,0.7217041,0.80009353,0.58801985
endoderm-5000,raw,5555,0.69610816,0.7885459,0.55869776
endoderm-10000,raw,1111,0.63170975,0.7575125,0.5525687
endoderm-10000,raw,2222,0.61092556,0.7420161,0.5771941
endoderm-10000,raw,3333,0.6273608,0.7621444,0.5834121
endoderm-10000,raw,4444,0.6231395,0.76238745,0.59920216
endoderm-10000,raw,5555,0.61978465,0.75097895,0.5806969
endoderm,multinomial,1111,0.7946827,0.8836552,0.64321136
endoderm,multinomial,2222,0.7987906,0.88754517,0.64030695
endoderm,multinomial,3333,0.97929937,0.9751656,0.63785076
endoderm,multinomial,4444,0.9499047,0.9484512,0.6162466
endoderm,multinomial,5555,0.96216065,0.9591178,0.60969627
endoderm-500,multinomial,1111,0.41160405,0.5371856,0.5100766
endoderm-500,multinomial,2222,0.42547613,0.54596126,0.49776328
endoderm-500,multinomial,3333,0.42825955,0.54840726,0.49893618
endoderm-500,multinomial,4444,0.428453,0.54990155,0.4943592
endoderm-500,multinomial,5555,0.41788036,0.54095054,0.5173726
endoderm-1000,multinomial,1111,0.5198739,0.67129916,0.5657136
endoderm-1000,multinomial,2222,0.5226253,0.67083424,0.5696836
endoderm-1000,multinomial,3333,0.5252544,0.67117363,0.57199824
endoderm-1000,multinomial,4444,0.51604855,0.6637421,0.59309125
endoderm-1000,multinomial,5555,0.5189364,0.67035866,0.57969075
endoderm-5000,multinomial,1111,0.6993271,0.8315357,0.5935724
endoderm-5000,multinomial,2222,0.69817287,0.8379591,0.59303653
endoderm-5000,multinomial,3333,0.6988908,0.83154184,0.6074895
endoderm-5000,multinomial,4444,0.6954616,0.8325747,0.61261654
endoderm-5000,multinomial,5555,0.6909551,0.830308,0.56682146
endoderm-10000,multinomial,1111,0.6430387,0.8064846,0.5674491
endoderm-10000,multinomial,2222,0.64628106,0.8079813,0.5766474
endoderm-10000,multinomial,3333,0.65728533,0.8126013,0.5779172
endoderm-10000,multinomial,4444,0.6428637,0.8069576,0.5656352
endoderm-10000,multinomial,5555,0.6402299,0.8054517,0.59097946
endoderm,zinb,1111,0.6131529,0.73819584,0.54643625
endoderm,zinb,2222,0.6226953,0.74636596,0.549776
endoderm,zinb,3333,0.62623185,0.7503446,0.56750023
endoderm,zinb,4444,0.5871652,0.7085053,0.5336742
endoderm,zinb,5555,0.6199305,0.7450157,0.57025945
endoderm-500,zinb,1111,0.19857079,0.29260367,0.40093383
endoderm-500,zinb,2222,0.19966051,0.29873803,0.40445623
endoderm-500,zinb,3333,0.20572937,0.28613096,0.37691665
endoderm-500,zinb,4444,0.20616013,0.28919926,0.3842758
endoderm-500,zinb,5555,0.20102422,0.29818273,0.40657783
endoderm-1000,zinb,1111,0.40274364,0.5094565,0.47949463
endoderm-1000,zinb,2222,0.39519757,0.50076985,0.47793716
endoderm-1000,zinb,3333,0.39962927,0.5070268,0.48395312
endoderm-1000,zinb,4444,0.38264093,0.4963777,0.461392
endoderm-1000,zinb,5555,0.39542645,0.50001323,0.48348066
endoderm-5000,zinb,1111,0.659544,0.77428937,0.5726358
endoderm-5000,zinb,2222,0.7343824,0.8432499,0.574217
endoderm-5000,zinb,3333,0.65095776,0.79152405,0.5602642
endoderm-5000,zinb,4444,0.6902724,0.8085867,0.55854386
endoderm-5000,zinb,5555,0.6963622,0.8086067,0.5710936
endoderm-10000,zinb,1111,0.6632434,0.79350024,0.6001318
endoderm-10000,zinb,2222,0.73217803,0.8463125,0.61034125
endoderm-10000,zinb,3333,0.7201425,0.8296423,0.5876814
endoderm-10000,zinb,4444,0.7327904,0.8455988,0.59436274
endoderm-10000,zinb,5555,0.73004735,0.8382252,0.5762092
endoderm,weight mse,1111,0.36633295,0.5229091,0.49011815
endoderm,weight mse,2222,0.35879323,0.51209915,0.45494124
endoderm,weight mse,3333,0.30870247,0.49473712,0.4894737
endoderm,weight mse,4444,0.34781745,0.511091,0.49629384
endoderm,weight mse,5555,0.30840802,0.4777597,0.505612
endoderm-500,weight mse,1111,0.052931074,0.0969058,0.49198484
endoderm-500,weight mse,2222,0.057317603,0.11250653,0.5019076
endoderm-500,weight mse,3333,0.057261035,0.1138416,0.5133991
endoderm-500,weight mse,4444,0.058865525,0.10686609,0.51453054
endoderm-500,weight mse,5555,0.05677811,0.10994682,0.49992663
endoderm-1000,weight mse,1111,0.15778205,0.2545886,0.46756178
endoderm-1000,weight mse,2222,0.14787087,0.26150638,0.4675324
endoderm-1000,weight mse,3333,0.15460914,0.25672272,0.45787942
endoderm-1000,weight mse,4444,0.17101128,0.3092973,0.48775363
endoderm-1000,weight mse,5555,0.1601177,0.28422964,0.5185811
endoderm-5000,weight mse,1111,0.47464037,0.6456898,0.5074913
endoderm-5000,weight mse,2222,0.5390083,0.6854076,0.55105394
endoderm-5000,weight mse,3333,0.56860226,0.6967117,0.5426804
endoderm-5000,weight mse,4444,0.5568915,0.6959478,0.5533708
endoderm-5000,weight mse,5555,0.43942505,0.6139061,0.5477032
endoderm-10000,weight mse,1111,0.5307385,0.6634741,0.50434065
endoderm-10000,weight mse,2222,0.5836513,0.6993693,0.52286637
endoderm-10000,weight mse,3333,0.51078534,0.641264,0.51120216
endoderm-10000,weight mse,4444,0.5714666,0.6939913,0.5267891
endoderm-10000,weight mse,5555,0.5486975,0.6755103,0.4984294
endoderm,mask mse,1111,0.5261702,0.6735417,0.46198174
endoderm,mask mse,2222,0.5225241,0.67080337,0.48045358
endoderm,mask mse,3333,0.5433623,0.68110543,0.4803002
endoderm,mask mse,4444,0.4941747,0.6458932,0.4680147
