,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
H1_Exp1.001,2.401728,3.091926,-2.835459,-14.677802,-9.676631,-7.127669,-5.392970,14.003097,4.636516,2.711749,10.772818,-2.425038,3.254001,11.703090,-4.240335,7.605677,3.539826,-10.829441,0.721287,-8.152631,2.719992,9.760329,13.572371,-7.340757,7.222789,-11.989021,2.434686,-6.901189,-4.491098,-6.903553,-1.386456,-6.705880
H1_Exp1.002,1.677361,3.076988,-3.392291,-15.207031,-10.002911,-7.127074,-4.664378,15.043894,4.602315,3.227126,12.062953,-1.287205,3.535959,11.502213,-3.067699,6.804846,3.973196,-10.438509,1.134603,-8.315215,1.724079,10.619309,13.213706,-8.117429,7.373246,-12.601778,2.503209,-6.744094,-7.240670,-5.907737,-1.014718,-7.331488
H1_Exp1.003,3.004116,3.749178,-2.214871,-13.760024,-10.446985,-6.274363,-5.027885,11.821609,4.216933,2.641542,11.426300,-1.573494,1.508639,9.975951,-3.893736,5.310845,4.872043,-8.847157,0.883452,-6.705385,2.142622,10.180876,12.157099,-6.925454,5.870554,-10.984313,1.919802,-6.638227,-5.744042,-5.891906,-0.937249,-6.416768
H1_Exp1.004,2.206557,2.424457,-1.909186,-12.454841,-7.612658,-7.355981,-4.905523,10.819155,4.078805,2.648014,8.659638,-1.285913,2.506287,9.298244,-2.510312,6.478173,3.066227,-8.973372,1.597069,-7.301500,1.704247,8.216475,11.926175,-5.126273,5.958485,-10.497061,2.548305,-5.039920,-4.384023,-5.849918,-1.021263,-4.152729
H1_Exp1.006,1.717558,2.594968,-3.269201,-15.161434,-9.553669,-7.714719,-6.047932,13.658421,5.054265,3.412324,10.854299,-1.678175,3.773656,11.391077,-4.722886,6.837194,3.971748,-10.764303,1.031361,-8.804903,2.176885,11.006232,13.104202,-7.870401,6.563110,-11.411247,1.980160,-6.996863,-6.124058,-7.295327,-1.697270,-6.348874
H1_Exp1.007,1.722895,2.585368,-2.842339,-10.878493,-6.944481,-5.083743,-4.185397,10.583422,2.469247,1.938451,9.035186,-0.202738,2.697335,8.096080,-3.028128,5.070094,2.840505,-7.442682,1.266286,-6.760819,1.851389,8.507340,9.824267,-5.287098,5.077508,-9.381005,2.525316,-4.520566,-5.474991,-4.383897,-0.881893,-4.562483
H1_Exp1.008,2.808586,4.677507,-4.986835,-21.472782,-14.138054,-8.826609,-7.043751,19.113846,6.105530,4.664864,16.855717,-2.006845,4.124691,14.513158,-5.983465,8.510372,3.909677,-14.248460,0.289322,-11.059605,2.117401,13.233238,17.290277,-9.934696,8.682458,-16.192743,1.412423,-10.455503,-9.376481,-8.298344,-1.632019,-10.303668
H1_Exp1.009,3.136238,3.445784,-3.940434,-16.760504,-11.441998,-7.676723,-5.442748,14.564286,5.956315,3.579062,12.187868,-1.785832,2.749727,11.062510,-4.280413,6.506294,2.801536,-11.200442,1.876990,-9.665112,0.382727,10.786907,12.442650,-8.528984,6.835833,-13.020977,1.150047,-6.727218,-7.773356,-6.241193,-1.356152,-8.892332
H1_Exp1.010,1.859522,2.892388,-2.467994,-12.679555,-9.047275,-6.353004,-5.643915,11.501662,3.693267,2.906363,9.298916,-0.961076,2.439921,8.623821,-2.566609,6.063162,3.401985,-9.029280,1.077665,-7.040387,1.416406,8.552672,12.096094,-5.291064,5.864823,-10.654184,2.012233,-5.022463,-5.634844,-6.151777,-1.304713,-5.326051
H1_Exp1.011,2.893830,4.641886,-2.049812,-14.431387,-11.553771,-7.492837,-5.585957,12.382909,4.213477,2.384740,11.556751,-1.724590,2.590559,8.977762,-4.364004,7.498988,3.570364,-9.821864,0.501813,-8.936811,-0.284472,10.527223,12.995663,-6.653787,5.573378,-12.898108,0.984724,-5.311344,-7.633456,-5.807515,-1.097610,-7.550963
H1_Exp1.012,2.997535,3.277842,-2.531467,-13.247166,-10.409513,-6.744795,-6.158907,11.166992,3.948716,2.749410,9.255483,-1.323582,2.194774,8.814824,-3.057607,6.917051,4.714078,-9.797390,0.355290,-6.480628,1.765024,8.864097,13.622304,-4.793279,6.179401,-11.111531,2.667843,-5.203307,-5.385522,-6.845217,-1.426385,-5.940263
H1_Exp1.014,1.254854,2.418191,-1.782384,-10.989524,-7.666520,-6.481596,-4.509299,10.622555,2.892200,2.863453,9.294219,-1.682334,2.402430,8.591748,-2.371622,6.129941,3.229724,-9.054464,0.354489,-6.107862,1.563114,7.818127,11.500734,-5.179329,5.681724,-9.967167,1.632959,-5.829675,-5.084954,-5.542866,-1.525339,-4.083589
H1_Exp1.015,2.405442,3.540743,-4.087737,-13.490798,-9.968842,-6.344782,-5.420001,13.141586,3.830930,4.519997,10.356166,-1.924473,3.947075,9.257750,-3.679223,6.290790,2.838987,-9.732818,0.519074,-6.797851,0.811803,8.640392,11.978562,-6.251421,6.588045,-11.193964,0.650359,-4.972993,-6.575565,-6.751768,-1.435007,-7.541730
H1_Exp1.016,1.972153,3.875955,-2.242955,-12.578104,-8.170747,-6.501061,-4.965291,10.623979,4.181855,2.687787,8.144342,-1.533714,1.915736,8.833332,-3.399671,5.794209,3.598867,-9.532630,0.183151,-5.672601,3.184540,8.008845,11.570735,-5.389959,5.389423,-9.884055,1.658527,-4.786093,-4.812316,-5.500968,-1.563126,-4.167986
H1_Exp1.017,1.991969,2.261494,-1.862391,-11.047751,-7.360308,-5.679575,-4.716836,9.242370,2.748841,2.424623,7.663543,-1.071396,2.474920,7.536744,-2.278096,6.524209,3.112796,-8.141519,1.767002,-6.603873,0.500885,7.386773,10.518905,-5.248370,4.857550,-11.113801,1.854556,-5.097581,-4.001138,-4.241727,-1.275667,-4.273724
H1_Exp1.018,2.382406,3.501497,-2.912190,-15.511550,-10.573800,-7.417196,-6.345536,13.417044,4.187369,2.677484,11.265798,-1.206509,2.688684,10.913974,-3.727314,6.726831,3.766168,-9.842888,1.663981,-9.148237,1.246876,10.143851,12.611575,-6.184419,6.851776,-12.325619,2.052221,-6.715296,-6.166862,-6.246236,-1.044444,-6.772395
H1_Exp1.019,3.098304,1.988707,-1.791212,-12.462174,-7.629944,-5.585761,-3.924284,10.582263,3.953326,1.654038,7.846867,-0.679096,2.561821,8.088362,-2.409955,6.936001,3.317402,-8.993174,1.111548,-6.315536,0.827432,8.301466,11.673208,-4.540939,5.748348,-9.691531,2.882953,-4.467778,-4.437424,-5.125900,-1.305211,-4.530968
H1_Exp1.020,2.132154,3.210755,-2.875664,-13.578213,-7.513687,-6.210563,-4.243457,12.381084,4.253893,2.128696,9.786122,-0.425938,2.391119,9.710124,-3.062877,6.864874,3.581578,-9.156534,1.396182,-7.410153,2.598716,9.093882,11.577924,-5.776538,5.665114,-10.847588,3.324479,-5.089206,-5.283703,-4.532472,-1.273205,-4.500732
H1_Exp1.021,1.377090,2.680460,-2.285333,-16.010080,-11.748324,-7.876158,-7.034588,13.831266,6.031583,2.603410,11.537122,-1.766395,3.742560,11.266492,-3.748152,7.839829,6.323756,-11.579862,0.921060,-7.888780,2.622893,11.660160,15.358344,-7.243249,7.207117,-12.990973,3.439560,-6.978549,-5.252812,-7.784244,-1.602037,-5.661788
H1_Exp1.022,1.256517,2.994010,-3.639552,-16.211515,-10.991885,-8.527823,-6.004973,15.272966,5.001970,3.825400,13.123729,-1.482172,3.242066,12.874983,-3.969455,6.791742,4.150839,-11.542826,1.908529,-9.820486,1.912395,11.434808,14.246116,-7.917994,8.322177,-14.077980,1.946067,-7.688147,-7.356001,-6.852334,-1.155935,-7.539760
H1_Exp1.023,1.378674,3.099735,-1.718901,-14.329865,-8.230711,-6.744267,-5.072005,11.011485,4.884749,1.696785,9.420633,-0.515255,2.049592,9.297077,-2.863672,6.840694,3.047440,-9.709332,1.435324,-7.625260,1.649513,9.293045,12.061850,-6.571398,5.202251,-11.940804,3.416024,-5.924895,-4.854192,-4.688004,-1.495207,-3.742064
H1_Exp1.024,2.599007,2.947196,-2.394101,-13.356491,-9.602101,-7.031468,-6.335803,11.158237,5.172817,2.040266,8.704594,-0.713018,2.378690,9.268111,-2.760957,6.503385,3.460107,-9.414443,1.909652,-7.426857,1.330863,9.110119,11.935538,-5.921014,6.093226,-12.192601,2.349831,-4.245110,-4.815678,-5.150402,-0.963102,-5.378384
H1_Exp1.025,1.716688,2.957216,-3.036261,-14.781418,-10.091755,-6.920645,-5.933927,13.369438,4.372371,3.659318,11.674843,-1.549371,2.879282,11.320004,-3.711041,6.612414,3.800729,-10.148976,0.570322,-7.350272,1.926735,9.203611,13.425277,-6.440496,6.956307,-12.654446,1.564811,-7.165154,-5.711392,-6.883524,-1.131011,-6.471785
H1_Exp1.026,2.653295,3.140306,-3.703252,-15.276148,-10.723609,-6.654195,-5.536670,15.447490,4.843811,3.616644,12.714119,-1.462272,3.635586,12.671369,-3.709225,7.016543,3.970955,-10.059139,2.141519,-9.397193,1.532282,11.372798,13.379035,-7.630541,8.291467,-13.411524,2.917634,-7.076143,-6.616751,-6.238495,-0.728886,-8.046039
H1_Exp1.027,2.621686,3.216935,-4.115954,-17.497478,-11.111084,-7.054938,-5.060979,15.455752,5.626257,3.509785,12.451267,-1.545416,3.635268,11.954807,-4.740386,6.947517,3.753445,-11.862751,0.594481,-8.515366,2.692687,11.232908,13.593695,-7.394715,7.830988,-12.903716,1.956121,-7.976200,-6.405496,-6.480330,-1.179627,-7.108618
H1_Exp1.029,2.403891,3.075025,-3.002455,-13.854148,-9.488819,-6.423969,-5.344176,12.193899,4.835949,3.013349,10.705682,-0.758218,2.163915,10.468821,-3.562661,6.024256,3.021162,-10.108944,0.538277,-7.479023,2.531399,9.397916,11.660099,-6.168210,6.418939,-12.181881,1.444350,-6.384295,-6.036126,-5.462561,-0.896704,-6.254767
H1_Exp1.030,2.371163,4.164589,-2.232359,-14.046893,-9.657362,-6.335545,-5.878207,11.632257,4.114709,3.334064,10.041266,-1.852805,2.106190,10.491744,-3.380980,7.402540,4.428899,-10.728081,0.443785,-7.869849,2.715766,9.645822,14.471067,-5.729524,5.760133,-10.857338,1.895018,-6.864854,-4.913132,-6.728195,-1.569587,-5.867247
H1_Exp1.031,1.506205,4.447180,-3.780583,-18.217638,-12.642983,-8.225036,-7.189867,16.418501,5.464987,3.638150,13.348607,-2.708934,3.292915,13.103235,-3.782796,8.211089,4.408023,-12.549235,1.471607,-10.267946,1.965794,11.684353,16.186863,-7.579936,8.273661,-13.944203,2.332255,-8.200651,-7.035070,-7.794125,-1.690147,-7.955979
H1_Exp1.032,2.437356,4.317883,-3.668380,-18.136932,-12.187759,-8.145496,-6.754708,17.185968,6.525528,4.264695,13.641489,-1.947452,4.185361,13.746620,-4.633129,8.216882,4.794955,-12.564014,1.500089,-9.652792,2.041231,13.028169,15.009912,-8.974826,8.662007,-14.389421,2.283474,-7.653044,-6.876159,-6.729127,-1.459179,-8.469450
H1_Exp1.033,2.123775,3.924497,-3.202184,-16.685589,-10.164040,-7.816197,-5.677232,13.832582,6.395110,3.928731,10.835353,-2.904258,2.145892,12.973860,-3.560934,7.926260,4.952351,-12.580771,0.720289,-8.010976,2.233531,10.944285,17.603762,-6.404958,7.833690,-11.481711,3.314184,-8.346365,-3.905044,-6.401558,-1.316150,-5.302312
H1_Exp1.035,1.382494,2.256438,-1.968426,-11.649017,-7.343034,-5.519443,-4.353793,10.047647,3.368590,1.830872,8.331948,-0.748881,2.160110,8.225060,-2.287276,6.128219,3.207383,-8.275603,0.758673,-6.102971,1.613703,7.548316,10.776336,-5.306041,4.772291,-10.142701,2.402328,-5.288791,-4.730025,-4.600330,-1.598053,-4.350264
H1_Exp1.036,2.087409,4.877287,-4.411401,-18.545767,-12.511624,-8.011662,-6.808770,16.840427,5.608706,4.213494,14.025167,-1.444982,3.925035,12.978202,-4.961370,8.714133,4.141474,-12.991677,0.922191,-9.644382,1.917122,12.249340,16.684729,-8.757824,7.724759,-14.978430,1.646767,-8.880809,-7.382952,-6.705041,-1.568349,-7.660749
H1_Exp1.038,2.530274,3.896434,-3.165640,-14.722959,-8.984214,-6.753929,-5.096000,12.262124,4.611846,1.960616,9.718577,-0.573206,2.426780,9.677054,-2.404741,5.911404,2.918847,-9.772311,1.103173,-7.367855,1.989542,8.466912,12.388739,-5.951392,5.604018,-10.969706,2.328096,-5.763393,-5.396127,-4.972188,-1.091481,-6.026412
H1_Exp1.039,2.867032,3.039087,-3.316167,-15.583643,-9.810087,-6.893369,-5.694607,14.229098,4.908519,2.205220,10.916159,-1.467473,2.994250,12.506487,-3.861487,7.064575,3.744811,-9.892907,1.780547,-8.708457,2.436195,10.671792,13.603109,-7.041606,7.499196,-12.189159,3.875570,-6.877596,-5.581974,-6.385283,-0.970301,-6.039818
H1_Exp1.040,1.954698,2.851201,-2.088309,-12.582271,-7.412988,-8.302772,-4.257217,10.957905,4.208856,3.039568,8.520059,0.481309,1.894099,9.988038,-2.271287,6.513991,3.964032,-9.085353,0.349746,-7.342874,0.897119,9.225156,11.846118,-5.630369,5.712747,-10.921365,1.427124,-4.768054,-4.789958,-5.508556,-1.605615,-5.074297
H1_Exp1.041,0.931706,3.140054,-2.936084,-11.266411,-8.029940,-5.732288,-4.532760,11.463917,3.740220,2.362999,8.913141,-1.037300,2.696476,9.887739,-3.247759,5.053904,3.812197,-7.395628,1.672986,-7.399731,2.383308,9.096327,10.319721,-6.147661,6.035537,-10.460320,2.332660,-5.130455,-4.231695,-4.988202,-0.533915,-6.071667
H1_Exp1.042,2.141992,4.552685,-4.012889,-16.667643,-11.544699,-8.546625,-5.310650,15.373775,4.822678,3.650672,12.430505,-1.640374,3.239017,11.394819,-3.638652,6.652358,3.561507,-11.799107,1.282241,-8.896621,2.318027,11.652495,13.658751,-7.840632,8.197113,-14.067554,2.264400,-6.608035,-7.942687,-6.184844,-1.804370,-7.865447
H1_Exp1.043,1.691800,2.657101,-3.325902,-15.120453,-10.996996,-6.921495,-6.272974,13.563941,5.505138,3.915877,10.067616,-2.517480,3.404036,9.842704,-3.416003,7.754436,5.042138,-10.803862,1.428499,-8.062683,1.398104,10.296765,14.101243,-5.845032,6.660561,-11.354591,1.861614,-5.357335,-5.344382,-7.358394,-1.988432,-6.204500
H1_Exp1.044,3.065092,3.739262,-2.385061,-13.467356,-9.609282,-5.850417,-5.124110,11.536210,4.503427,1.306388,9.628718,-0.962027,2.086942,9.668511,-3.599916,6.802224,3.734041,-8.095850,1.343107,-8.417233,1.944556,8.958753,11.543750,-5.525375,5.239161,-11.517244,3.101210,-5.571558,-4.949030,-4.969348,-0.361130,-6.102034
H1_Exp1.045,2.599777,4.398144,-3.871014,-15.908758,-11.653616,-7.534667,-6.761130,14.128834,5.038943,3.675668,12.065668,-3.006033,3.109907,11.701180,-3.864361,7.271030,3.650027,-11.524997,0.616942,-8.171832,1.869106,11.464224,14.384638,-7.500901,7.523029,-12.850284,2.501890,-6.336116,-7.172094,-8.022180,-2.193995,-7.540482
H1_Exp1.047,2.694457,3.924355,-4.134309,-17.210400,-11.436968,-7.386055,-6.093213,16.542877,5.234788,3.375050,13.263261,-2.684329,3.102521,13.648934,-4.587557,7.903655,3.816956,-12.442649,1.134241,-10.077271,2.770669,12.434500,15.765546,-8.936425,8.101646,-14.516449,2.720779,-8.401024,-6.544216,-6.469899,-1.615023,-8.125334
H1_Exp1.048,1.835372,3.634106,-4.015051,-16.171104,-10.566249,-6.800924,-5.224786,14.803643,5.048882,3.666439,13.012934,-1.688399,3.265259,11.275339,-4.324601,6.409682,3.937993,-11.183501,0.323492,-7.739491,2.782269,10.903768,13.548446,-7.380246,7.296207,-12.269695,1.920683,-8.167716,-6.627287,-7.184476,-1.647792,-6.939213
